labid	subid	CDI-form	CDI-agerange	CDI-agedays	vocab_nwords	standardized-score-CDI	CDI-error	Notes
babylab-potsdam	b6805	FRAKIS	18	547	39	NA	noerror	NA
babylab-potsdam	b6805	FRAKIS	24	707	253	NA	noerror	NA
babylab-potsdam	b6829	FRAKIS	18	549	26	NA	noerror	NA
babylab-potsdam	b6829	FRAKIS	24	716	64	NA	noerror	NA
babylab-potsdam	b6833	FRAKIS	24	719	22	NA	noerror	NA
babylab-potsdam	b6834	FRAKIS	18	550	146	NA	noerror	NA
babylab-potsdam	b6846	FRAKIS	18	560	102	NA	noerror	a bit too old 18.7 months
babylab-potsdam	b6846	FRAKIS	24	717	480	NA	noerror	NA
babylab-potsdam	b6850	FRAKIS	18	541	4	NA	noerror	NA
babylab-potsdam	b6850	FRAKIS	24	735	50	NA	noerror	NA
babylab-potsdam	b6854	FRAKIS	18	561	28	NA	noerror	a bit too old 18.7 months
babylab-potsdam	b6854	FRAKIS	24	718	190	NA	noerror	NA
babylab-potsdam	b6869	FRAKIS	18	532	45	NA	noerror	NA
babylab-potsdam	b6869	FRAKIS	24	717	283	NA	noerror	NA
babylab-potsdam	b6871	FRAKIS	18	552	83	NA	noerror	NA
babylab-potsdam	b6871	FRAKIS	24	719	282	NA	noerror	NA
babylab-potsdam	b6873	FRAKIS	18	562	106	NA	noerror	a bit too old 18.7 months
babylab-potsdam	b6873	FRAKIS	24	702	378	NA	noerror	a bit too young 23.4 months
babylab-potsdam	b6880	FRAKIS	18	534	151	NA	noerror	NA
babylab-potsdam	b6885	FRAKIS	18	535	12	NA	noerror	NA
babylab-potsdam	b6885	FRAKIS	24	717	93	NA	noerror	NA
babylab-potsdam	b6893	FRAKIS	18	535	5	NA	noerror	NA
babylab-potsdam	b6893	FRAKIS	24	664	14	NA	noerror	a bit too young 22.1 months
babylab-potsdam	b6899	FRAKIS	18	548	25	NA	noerror	NA
babylab-potsdam	b6899	FRAKIS	24	691	122	NA	noerror	a bit too young 23 months
babylab-potsdam	b6902	FRAKIS	18	552	11	NA	noerror	NA
babylab-potsdam	b6902	FRAKIS	24	725	62	NA	noerror	NA
babylab-potsdam	b6903	FRAKIS	18	533	55	NA	noerror	NA
babylab-potsdam	b6907	FRAKIS	24	739	101	NA	noerror	a bit too old 24.6 months
babylab-potsdam	b6910	FRAKIS	24	702	327	NA	noerror	a bit too young 23.4 months
babylab-potsdam	b6911	FRAKIS	18	544	27	NA	noerror	NA
babylab-potsdam	b6911	FRAKIS	24	746	235	NA	noerror	a bit too old 24.9 months
babylab-potsdam	b6912	FRAKIS	18	567	158	NA	noerror	a bit too old 18.9 months
babylab-potsdam	b6912	FRAKIS	24	713	461	NA	noerror	NA
babylab-potsdam	b6913	FRAKIS	18	546	16	NA	noerror	NA
babylab-potsdam	b6913	FRAKIS	24	725	92	NA	noerror	NA
babylab-potsdam	b6915	FRAKIS	18	589	157	NA	noerror	a bit too old 19.6 months
babylab-potsdam	b6915	FRAKIS	24	674	223	NA	noerror	a bit too young 22.5 months
babylab-potsdam	b6917	FRAKIS	18	550	51	NA	noerror	NA
babylab-potsdam	b6917	FRAKIS	24	714	144	NA	noerror	NA
babylab-potsdam	b6920	FRAKIS	24	720	500	NA	noerror	NA
babylab-potsdam	b6921	FRAKIS	18	539	11	NA	noerror	NA
babylab-potsdam	b6921	FRAKIS	24	727	67	NA	noerror	NA
babylab-potsdam	b6926	FRAKIS	18	549	14	NA	noerror	NA
babylab-potsdam	b6926	FRAKIS	24	686	26	NA	noerror	a bit too young 22.9 months
babylab-potsdam	b6939	FRAKIS	18	553	8	NA	noerror	NA
babylab-potsdam	b6939	FRAKIS	24	767	95	NA	noerror	a bit too old 25.6 months
babylab-potsdam	b6940	FRAKIS	18	544	79	NA	noerror	NA
babylab-potsdam	b6940	FRAKIS	24	701	284	NA	noerror	a bit too young 23.4 months
babylab-potsdam	b6945	FRAKIS	18	562	207	NA	noerror	a bit too old 18.7 months
babylab-potsdam	b6945	FRAKIS	24	709	316	NA	noerror	NA
babylab-potsdam	b6946	FRAKIS	18	533	7	NA	noerror	NA
babylab-potsdam	b6960	FRAKIS	18	541	112	NA	noerror	NA
babylab-potsdam	b6960	FRAKIS	24	688	392	NA	noerror	a bit too young 22.9 months
babylab-potsdam	b6961	FRAKIS	18	546	44	NA	noerror	NA
babylab-potsdam	b6961	FRAKIS	24	728	346	NA	noerror	NA
babylab-potsdam	b6967	FRAKIS	18	549	210	NA	noerror	NA
babylab-potsdam	b6967	FRAKIS	24	716	364	NA	noerror	NA
babylab-potsdam	b6971	FRAKIS	24	726	89	NA	noerror	NA
babylab-potsdam	b6987	FRAKIS	24	740	114	NA	noerror	a bit too old 24.7 months
babylab-potsdam	b6993	FRAKIS	24	676	216	NA	noerror	a bit too young 22.5 months
babylab-potsdam	b7003	FRAKIS	18	538	46	NA	noerror	NA
babylab-potsdam	b7041	FRAKIS	18	533	106	NA	noerror	NA
babylab-potsdam	b7045	FRAKIS	18	534	39	NA	noerror	NA
babylab-potsdam	b7045	FRAKIS	24	699	360	NA	noerror	a bit too young 23.3 months
