labid	subid	CDI-form	CDI-agerange	CDI-agedays	vocab_nwords	standardized-score-CDI	CDI-error	Notes
purdue-infant-speech	4211	webcdi	18	620	3	2	noerror	
purdue-infant-speech	4318	webcdi	18	558	129	59	noerror	
purdue-infant-speech	4285	webcdi	18	558	3	2	noerror	
purdue-infant-speech	4246	webcdi	18	620	71	36	noerror	
purdue-infant-speech	4229	webcdi	24	775	313	38	noerror	
purdue-infant-speech	4241	webcdi	24	775	323	39	noerror	
purdue-infant-speech	4277	webcdi	18	589	480	98	noerror	
purdue-infant-speech	4317	webcdi	24	744	306	44	noerror	
purdue-infant-speech	4324	webcdi	18	589	5	3	noerror	
purdue-infant-speech	4356	webcdi	18	589	21	8	noerror	
purdue-infant-speech	4290	webcdi	18	620	152	62	noerror	
purdue-infant-speech	4251	webcdi	24	775	286	48	noerror	
purdue-infant-speech	4285	webcdi	24	806	76	5	noerror	
purdue-infant-speech	4355	webcdi	18	620	6	3	noerror	
purdue-infant-speech	4337	webcdi	24	744	464	84	noerror	
purdue-infant-speech	4258	webcdi	24	806	121	14	noerror	
purdue-infant-speech	4269	webcdi	24	775	409	71	noerror	
purdue-infant-speech	4243	webcdi	24	806	238	33	noerror	
purdue-infant-speech	4253	webcdi	24	775	346	43	noerror	
purdue-infant-speech	4254	webcdi	24	775	391	50	noerror	
purdue-infant-speech	4282	webcdi	24	806	465	55	noerror	
purdue-infant-speech	4290	webcdi	24	744	366	71	noerror	
purdue-infant-speech	4294	webcdi	24	744	492	88	noerror	
purdue-infant-speech	4305	webcdi	24	744	147	29	noerror	
purdue-infant-speech	4333	webcdi	24	713	194	47	noerror	
purdue-infant-speech	4352	webcdi	24	806	448	52	noerror	
purdue-infant-speech	4286	webcdi	24	744	126	24	noerror	
purdue-infant-speech	4263	webcdi	24	837	522	77	noerror	
purdue-infant-speech	4277	webcdi	24	775	480	68	noerror	
purdue-infant-speech	4355	webcdi	24	744	5	1	noerror	
purdue-infant-speech	4324	webcdi	24	775	33	3	noerror	
purdue-infant-speech	4356	webcdi	24	806	315	31	noerror	
purdue-infant-speech	4233	webcdi	18	558	135	60	noerror	
purdue-infant-speech	4229	webcdi	18	558	22	11	noerror	
purdue-infant-speech	4317	webcdi	18	558	51	28	noerror	
purdue-infant-speech	4249	webcdi	18	589	27	10	noerror	
purdue-infant-speech	4269	webcdi	18	558	32	25	noerror	
purdue-infant-speech	4253	webcdi	18	558	38	20	noerror	
purdue-infant-speech	4214	webcdi	24	744	44	4	noerror	
purdue-infant-speech	4182	webcdi	24	775	151	16	noerror	
purdue-infant-speech	4352	webcdi	18	558	47	25	noerror	
purdue-infant-speech	4272	webcdi	18	558	91	46	noerror	
purdue-infant-speech	4243	webcdi	18	589	37	23	noerror	
purdue-infant-speech	4316	webcdi	18	620	259	72	noerror	
purdue-infant-speech	4262	webcdi	24	713	29	6	noerror	
purdue-infant-speech	4249	webcdi	24	744	28	3	noerror	
purdue-infant-speech	4231	webcdi	24	775	377	48	noerror	
purdue-infant-speech	4299	webcdi	18	558	76	55	noerror	
purdue-infant-speech	4226	webcdi	24	775	3	1	noerror	
purdue-infant-speech	4333	webcdi	18	589	63	40	noerror	
purdue-infant-speech	4305	webcdi	18	589	33	20	noerror	
purdue-infant-speech	4302	webcdi	18	558	60	32	noerror	
purdue-infant-speech	4294	webcdi	18	620	380	93	noerror	
purdue-infant-speech	4251	webcdi	18	620	64	32	noerror	
purdue-infant-speech	4311	webcdi	18	558	13	9	noerror	
purdue-infant-speech	4310	webcdi	18	558	16	10	noerror	
purdue-infant-speech	4282	webcdi	18	589	115	46	noerror	
purdue-infant-speech	4263	webcdi	18	527	9	8	noerror	
purdue-infant-speech	4331	webcdi	24	713	28	4	noerror	
purdue-infant-speech	4369	webcdi	18	589	28	16	noerror	
purdue-infant-speech	4303	webcdi	18	558	27	14	noerror	
purdue-infant-speech	4292	webcdi	24	775	240	40	noerror	
purdue-infant-speech	4280	webcdi	18	589	276	82	noerror	
purdue-infant-speech	4228	webcdi	24	775	323	39	noerror	
purdue-infant-speech	4211	webcdi	24	744	6	1	noerror	
purdue-infant-speech	4246	webcdi	24	806	340	49	noerror	
purdue-infant-speech	4292	webcdi	18	589	91	53	noerror	
purdue-infant-speech	4262	webcdi	18	558	7	5	noerror	
purdue-infant-speech	4231	webcdi	18	589	47	20	noerror	
purdue-infant-speech	4226	webcdi	18	558	2	2	noerror	
purdue-infant-speech	4208	webcdi	18	589	126	63	noerror	
purdue-infant-speech	4228	webcdi	18	558	113	54	noerror	
