labid	subid	CDI-form	CDI-agerange	CDI-agedays	vocab_nwords	standardized-score-CDI	CDI-error	Notes
weltentdecker-zurich	mb_12516	FROSCH	convenience	762	117	NA	noerror	NA
weltentdecker-zurich	mb_13498	FROSCH	convenience	615	79	NA	noerror	NA
weltentdecker-zurich	mb_12524	FROSCH	convenience	640	240	NA	noerror	NA
weltentdecker-zurich	mb_13111	FROSCH	convenience	632	21	NA	noerror	NA
weltentdecker-zurich	mb_13077	FROSCH	convenience	617	269	NA	noerror	NA
weltentdecker-zurich	mb_12872	FROSCH	convenience	592	51	NA	noerror	NA
weltentdecker-zurich	mb_12569	FROSCH	convenience	623	59	NA	noerror	NA
weltentdecker-zurich	mb_13490	FROSCH	convenience	640	68	NA	noerror	NA
weltentdecker-zurich	mb_13314	FROSCH	convenience	614	24	NA	noerror	NA
weltentdecker-zurich	mb_13333	FROSCH	convenience	589	16	NA	noerror	NA
weltentdecker-zurich	mb_13510	FROSCH	convenience	623	61	NA	noerror	NA
weltentdecker-zurich	mb_12801	FROSCH	convenience	630	19	NA	noerror	NA
weltentdecker-zurich	mb_12601	FROSCH	convenience	618	24	NA	noerror	NA
weltentdecker-zurich	mb_13326	FROSCH	convenience	608	270	NA	noerror	NA
weltentdecker-zurich	mb_13288	FROSCH	convenience	600	125	NA	noerror	NA
weltentdecker-zurich	mb_13629	FROSCH	convenience	569	21	NA	noerror	NA
weltentdecker-zurich	mb_13968	FROSCH	convenience	585	250	NA	noerror	NA
weltentdecker-zurich	mb_13242	FROSCH	convenience	619	5	NA	noerror	NA
weltentdecker-zurich	mb_13775	FROSCH	convenience	614	62	NA	noerror	NA
weltentdecker-zurich	mb_13915	FROSCH	convenience	577	38	NA	noerror	NA
weltentdecker-zurich	mb_13659	FROSCH	convenience	597	115	NA	noerror	NA
weltentdecker-zurich	mb_13948	FROSCH	convenience	568	151	NA	noerror	NA
weltentdecker-zurich	mb_12755	FROSCH	convenience	650	15	NA	noerror	NA
weltentdecker-zurich	mb_13505	FROSCH	convenience	641	410	NA	noerror	NA
weltentdecker-zurich	mb_12676	FROSCH	convenience	627	195	NA	noerror	NA
weltentdecker-zurich	mb_12690	FROSCH	convenience	608	86	NA	noerror	NA
weltentdecker-zurich	mb_13178	FROSCH	convenience	600	322	NA	noerror	NA
